Pendolo inverso attivazione
(dt=10, OCR2A=156, Prescaler=1024)
PWM	mStep	mVel	mAcc
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
1000	-4773	0	0
121	-4773	0	0
121	-4771	2	2
121	-4762	9	7
121	-4746	16	7
121	-4724	22	6
121	-4697	27	5
121	-4665	32	5
121	-4627	38	6
121	-4585	42	4
121	-4541	44	2
121	-4492	49	5
121	-4440	52	3
121	-4385	55	3
121	-4326	59	4
121	-4265	61	2
121	-4202	63	2
121	-4136	66	3
121	-4069	67	1
121	-4000	69	2
121	-3929	71	2
121	-3858	71	0
121	-3785	73	2
121	-3711	74	1
121	-3637	74	0
121	-3561	76	2
121	-3485	76	0
121	-3408	77	1
121	-3331	77	0
121	-3253	78	1
121	-3174	79	1
121	-3096	78	-1
121	-3016	80	2
121	-2937	79	-1
121	-2857	80	1
121	-2777	80	0
121	-2696	81	1
121	-2616	80	-1
121	-2535	81	1
121	-2454	81	0
121	-2373	81	0
121	-2292	81	0
121	-2211	81	0
121	-2129	82	1
121	-2048	81	-1
121	-1966	82	1
121	-1885	81	-1
121	-1803	82	1
121	-1721	82	0
121	-1639	82	0
121	-1557	82	0
121	-1475	82	0
121	-1394	81	-1
121	-1314	80	-1
121	-1233	81	1
121	-1152	81	0
121	-1069	83	2
121	-987	82	-1
121	-905	82	0
121	-823	82	0
121	-741	82	0
121	-659	82	0
121	-576	83	1
121	-494	82	-1
121	-412	82	0
121	-329	83	1
121	-247	82	-1
121	-165	82	0
121	-82	83	1
121	0	82	-1
121	82	82	0
121	165	83	1
121	247	82	-1
121	330	83	1
121	412	82	-1
121	494	82	0
121	577	83	1
121	660	83	0
121	742	82	-1
121	825	83	1
121	907	82	-1
121	990	83	1
121	1073	83	0
121	1155	82	-1
121	1238	83	1
121	1321	83	0
121	1403	82	-1
121	1486	83	1
121	1569	83	0
121	1651	82	-1
121	1734	83	1
121	1817	83	0
121	1900	83	0
121	1983	83	0
121	2065	82	-1
121	2148	83	1
121	2231	83	0
121	2314	83	0
121	2396	82	-1
121	2479	83	1
121	2562	83	0
121	2645	83	0
121	2728	83	0
121	2811	83	0
121	2893	82	-1
121	2974	81	-1
121	3057	83	2
121	3140	83	0
121	3223	83	0
121	3305	82	-1
121	3388	83	1
121	3471	83	0
121	3553	82	-1
121	3636	83	1
121	3719	83	0
121	3802	83	0
121	3885	83	0
121	3967	82	-1
121	4048	81	-1
121	4132	84	3
121	4214	82	-2
121	4295	81	-1
121	4377	82	1
121	4460	83	1
121	4543	83	0
121	4626	83	0
121	4709	83	0
121	4792	83	0
121	4875	83	0
121	4958	83	0
121	5041	83	0
121	5124	83	0
121	5208	84	1
121	5291	83	-1
121	5373	82	-1
121	5455	82	0
121	5538	83	1
121	5621	83	0
121	5704	83	0
121	5787	83	0
121	5870	83	0
121	5952	82	-1
121	6035	83	1
121	6118	83	0
121	6200	82	-1
121	6283	83	1
121	6366	83	0
121	6449	83	0
121	6533	84	1
121	6616	83	-1
121	6699	83	0
121	6782	83	0
121	6866	84	1
121	6949	83	-1
121	7032	83	0
121	7116	84	1
121	7199	83	-1
121	7282	83	0
121	7365	83	0
121	7449	84	1
121	7532	83	-1
121	7615	83	0
121	7699	84	1
121	7782	83	-1
121	7865	83	0
121	7949	84	1
121	8032	83	-1
121	8115	83	0
121	8199	84	1
121	8282	83	-1
121	8365	83	0
121	8449	84	1
121	8532	83	-1
121	8615	83	0
121	8697	82	-1
121	8780	83	1
121	8864	84	1
121	8947	83	-1
121	9030	83	0
121	9114	84	1
121	9197	83	-1
121	9280	83	0
121	9364	84	1
121	9447	83	-1
121	9530	83	0
121	9612	82	-1
121	9695	83	1
121	9778	83	0
121	9860	82	-1
121	9943	83	1
121	10027	84	1
121	10110	83	-1
121	10191	81	-2
121	10273	82	1
121	10354	81	-1
121	10436	82	1
121	10519	83	1
121	10602	83	0
123	10683	81	-2
121	10765	82	1
121	10848	83	1
121	10930	82	-1
121	11013	83	1
121	11096	83	0
121	11178	82	-1
121	11261	83	1
121	11344	83	0
121	11426	82	-1
121	11509	83	1
121	11591	82	-1
121	11674	83	1
121	11757	83	0
121	11839	82	-1
121	11922	83	1
