Pendolo inverso attivazione
(dt=10, OCR2A=156, Prescaler=1024)
PWM	mStep	mVel	mAcc
0	55516	8	0
0	55524	8	0
0	55531	7	-1
0	55538	7	0
0	55545	7	0
0	55552	7	0
0	55559	7	0
0	55566	7	0
0	55573	7	0
0	55580	7	0
0	55587	7	0
0	55593	6	-1
0	55599	6	0
0	55605	6	0
0	55612	7	1
0	55618	6	-1
0	55624	6	0
0	55629	5	-1
0	55635	6	1
0	55641	6	0
0	55646	5	-1
0	55652	6	1
0	55657	5	-1
0	55662	5	0
0	55667	5	0
0	55672	5	0
0	55677	5	0
0	55682	5	0
0	55686	4	-1
0	55691	5	1
0	55695	4	-1
0	55700	5	1
0	55704	4	-1
0	55708	4	0
0	55712	4	0
0	55716	4	0
0	55720	4	0
0	55723	3	-1
0	55727	4	1
0	55730	3	-1
0	55733	3	0
0	55737	4	1
0	55740	3	-1
0	55743	3	0
0	55745	2	-1
0	55748	3	1
0	55751	3	0
0	55753	2	-1
0	55756	3	1
0	55758	2	-1
0	55761	3	1
0	55763	2	-1
0	55765	2	0
0	55767	2	0
0	55769	2	0
0	55771	2	0
0	55773	2	0
0	55774	1	-1
0	55776	2	1
0	55777	1	-1
0	55779	2	1
0	55780	1	-1
0	55781	1	0
0	55782	1	0
0	55783	1	0
0	55784	1	0
0	55784	0	-1
0	55785	1	1
0	55785	0	-1
0	55786	1	1
0	55786	0	-1
0	55787	1	1
0	55787	0	-1
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
